LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8474641,0.5,over,0.711
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8475786,0.5,over,0.7454
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8476374,0.5,over,0.7085
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8476454,0.5,over,0.6763
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477406,0.5,over,0.6566
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477496,0.5,over,0.6636
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477508,0.5,over,0.4947
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477934,0.5,over,0.7632
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477953,0.5,over,0.7799
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8477956,0.5,over,0.8853
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8478042,0.5,over,0.8954
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8478233,0.5,over,0.6513
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8478401,0.5,over,0.7237
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8478402,0.5,over,0.8329
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8478458,0.5,over,0.6522
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479365,0.5,over,0.8198
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479368,0.5,over,0.5779
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479591,0.5,over,0.9218
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479661,0.5,over,0.6918
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479705,0.5,over,0.6747
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479987,0.5,over,0.8577
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8479999,0.5,over,0.6418
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8480355,0.5,over,0.7035
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8481491,0.5,over,0.6087
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8481617,0.5,over,0.7135
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8481712,0.5,over,0.7964
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8482177,0.5,over,0.6734
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8482634,0.5,over,0.7839
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8483489,0.5,over,0.6794
NHL,20251218,BOS,EDM,,player_prop,player-shots_onGoal-ou,8483512,0.5,over,0.7421
