full_name,player_id,game_id,team_id,line,p_over,price_over,p_over_mkt,edge_over,fair_over,game_date
C. Perry,8470621,2025020994,14,0.5,0.6666857899626675,,,,-200,2026-03-07
A. Ovechkin,8471214,2025020990,15,0.5,0.9195716809716744,-143.5,0.5893223819301848,0.3302492990414896,-1143,2026-03-07
E. Malkin,8471215,2025020993,5,0.5,0.8375929287860089,,,,-516,2026-03-07
S. Crosby,8471675,2025020993,5,0.5,0.6644240913643903,,,,-198,2026-03-07
A. Kopitar,8471685,2025020997,26,0.5,0.3798744079097261,-125.0,0.5555555555555556,-0.17568114764582948,+163,2026-03-07
K. Letang,8471724,2025020993,5,0.5,0.525082513752023,160.0,0.38461538461538464,0.14046712913663834,-111,2026-03-07
J. Quick,8471734,2025020991,3,0.5,0.2510906211844151,,,,+298,2026-03-07
R. Reaves,8471817,2025020999,28,0.5,0.5942680293563198,,,,-146,2026-03-07
J. Reimer,8473503,2025021000,9,0.5,0.2233921417155737,,,,+348,2026-03-07
C. Giroux,8473512,2025021000,9,0.5,0.6748829054457897,135.5,0.42462845010615713,0.25025445533963253,-208,2026-03-07
J. Staal,8473533,2025020998,12,0.5,0.6107095417075701,130.0,0.43478260869565216,0.17592693301191792,-157,2026-03-07
Semyon Varlamov,8473575,2025020999,2,0.5,0.2367426918120012,,,,+322,2026-03-07
J. Toews,8473604,2025020996,52,0.5,0.4905581792749244,,,,+104,2026-03-07
I. Cole,8474013,2025020995,68,0.5,0.4560318654765504,,,,+119,2026-03-07
B. Smith,8474090,2025020995,29,0.5,0.4408064026138302,,,,+127,2026-03-07
E. Dadonov,8474149,2025020991,1,0.5,0.4994467094464373,,,,+100,2026-03-07
M. Backlund,8474150,2025020998,20,0.5,0.7779233060504194,-2.5,0.024390243902439025,0.7535330621479803,-350,2026-03-07
R. McDonagh,8474151,2025020994,14,0.5,0.3916089643209753,,,,+155,2026-03-07
L. Eller,8474189,2025021000,9,0.5,0.4321370022960185,,,,+131,2026-03-07
D. Doughty,8474563,2025020997,26,0.5,0.3989677541233208,162.5,0.38095238095238093,0.018015373170939875,+151,2026-03-07
S. Stamkos,8474564,2025020992,18,0.5,0.8631448695363566,-140.5,0.5841995841995842,0.27894528533677243,-631,2026-03-07
L. Schenn,8474568,2025020992,7,0.5,0.3098460923941409,,,,+223,2026-03-07
E. Karlsson,8474578,2025020993,5,0.5,0.7382248063719322,-115.0,0.5348837209302325,0.2033410854416997,-282,2026-03-07
J. Eberle,8474586,2025021000,55,0.5,0.7346398268885804,-127.5,0.5604395604395604,0.17420026644901998,-277,2026-03-07
J. Markstrom,8474593,2025020991,1,0.5,0.2406723346542477,,,,+316,2026-03-07
J. Allen,8474596,2025020991,1,0.5,0.2406723346542477,,,,+316,2026-03-07
R. Josi,8474600,2025020992,18,0.5,0.7804661236486441,-149.0,0.5983935742971888,0.18207254935145534,-356,2026-03-07
G. Nyquist,8474679,2025020996,52,0.5,0.40234769934926,,,,+149,2026-03-07
K. Palmieri,8475151,2025020999,2,0.5,0.7535534859945001,,,,-306,2026-03-07
R. O'Reilly,8475158,2025020992,18,0.5,0.7083848572119616,-125.0,0.5555555555555556,0.15282930165640607,-243,2026-03-07
J. Tavares,8475166,2025020994,10,0.5,0.8182807680704092,-130.0,0.5652173913043478,0.2530633767660614,-450,2026-03-07
V. Hedman,8475167,2025020994,14,0.5,0.697701272145662,170.0,0.37037037037037035,0.32733090177529167,-231,2026-03-07
E. Kane,8475169,2025020996,23,0.5,0.8399960718322788,132.5,0.43010752688172044,0.4098885449505583,-525,2026-03-07
B. Schenn,8475170,2025020999,2,0.5,0.6568294946694748,135.0,0.425531914893617,0.2312975797758578,-191,2026-03-07
O. Ekman-Larsson,8475171,2025020994,10,0.5,0.5382697187320447,180.0,0.35714285714285715,0.1811268615891875,-117,2026-03-07
D. Orlov,8475200,2025020999,28,0.5,0.4738475385573927,150.0,0.4,0.07384753855739268,+111,2026-03-07
B. Dumoulin,8475208,2025020997,26,0.5,0.3741435064383496,,,,+167,2026-03-07
C. Cizikas,8475231,2025020999,2,0.5,0.7484934401541827,,,,-298,2026-03-07
N. Deslauriers,8475235,2025020998,12,0.5,0.5959364489805067,,,,-147,2026-03-07
E. Haula,8475287,2025020992,18,0.5,0.5625402938609723,150.0,0.4,0.16254029386097224,-129,2026-03-07
D. Kuemper,8475311,2025020997,26,0.5,0.2579618445771183,,,,+288,2026-03-07
A. Lee,8475314,2025020999,2,0.5,0.7736044242873396,120.0,0.45454545454545453,0.319058969741885,-342,2026-03-07
N. Jensen,8475324,2025021000,9,0.5,0.2793417535302204,,,,+258,2026-03-07
B. Dillon,8475455,2025020991,1,0.5,0.2962517839906166,,,,+238,2026-03-07
C. Tanev,8475690,2025020994,10,0.5,0.3498327917484289,,,,+186,2026-03-07
C. Jarnkrok,8475714,2025020994,10,0.5,0.5347902060433812,,,,-115,2026-03-07
