full_name,team,game_id,p_over_18.5,p_over_19.5,p_over_20.5,p_over_21.5,p_over_22.5,p_over_23.5,p_over_24.5,p_over_25.5,p_over_26.5,p_over_27.5,p_over_28.5,p_over_29.5,p_over_30.5,player_id
Jacob Markstrom,NJD,2025020108,0.8400657750624889,0.7803576113258363,0.7108135235431539,0.6336703652074315,0.5519874498192548,0.4692580470097856,0.3733320976481802,0.3141392940007155,0.2471038057201888,0.1892679043678157,0.14115118908221,0.1025007466379457,0.0724891078717777,8474593
Jake Allen,NJD,2025020108,0.7914135774019797,0.72190294004094,0.6440842785783425,0.5611131604090577,0.4766695597129969,0.3944639625026128,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8474596
Filip Gustavsson,MIN,2025020108,0.8657278764144434,0.8121915475294721,0.7483309157147495,0.6757823993154065,0.5971103480020689,0.5155071352228715,0.4166666666666667,0.3569824748728375,0.2859549767357687,0.2231957805354822,0.1697228530992663,0.12573319543893,0.0907512509038045,8479406
,,2025020108,0.0114209823853483,0.0057411388450478,0.0027617014908571,0.0012732220342932,0.0005634023387385,0.0002396237758607,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8482076
Jesper Wallstedt,MIN,2025020108,9.145996231207933e-05,3.0442441064426617e-05,9.672647098946108e-06,2.939462573015028e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8482661
Cam Talbot,DET,2025020109,0.7935278330830637,0.7243964705556998,0.6468780802116344,0.5640943338309823,0.4797060760473851,0.3974223764459617,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8475660
John Gibson,DET,2025020109,0.8189496599051561,0.7547020199664974,0.6812003282167259,0.6011158791598235,0.517825341963002,0.4349666679653716,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476434
Alex Lyon,BUF,2025020109,0.8431368826397321,0.7841280180563628,0.7152110174678363,0.6385550131030174,0.5571665959061932,0.4745106934862346,0.4166666666666667,0.3189027638481477,0.2513774534832951,0.1929600929980971,0.1442271090961537,0.104974899321212,0.0744128859326558,8479312
Ukko-Pekka Luukkonen,BUF,2025020109,0.7741914388949568,0.7017375203577598,0.6216528488012548,0.537348957737025,0.4526374414930442,0.371217247053903,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480045
Colten Ellis,BUF,2025020109,0.8795651679782721,0.8296875223303082,0.7693472021985103,0.699825567495601,0.6233665074468017,0.5429337831291103,0.4166666666666667,0.3833689725478389,0.3103386597258902,0.2448944757409742,0.1883429032291178,0.1411606857627968,0.1031076987053625,8481551
Sam Montembeault,MTL,2025020110,0.8461699840785935,0.7878619152270926,0.7195778008145415,0.6434187705212288,0.5623376496196075,0.4797694287079221,0.4166666666666667,0.3236977906779221,0.2556911400829575,0.1966970318281153,0.147348796337765,0.1074927101171346,0.076375946975745,8478470
Dustin Wolf,CGY,2025020110,0.8678974567332196,0.8149186509160515,0.7515874169295217,0.6794858942385291,0.6011307459537809,0.5196817974621918,0.4166666666666667,0.3609510158191357,0.2896003176780695,0.2264202271525546,0.172473140811083,0.1279981592395138,0.0925543571251859,8481692
Devin Cooley,CGY,2025020110,0.8853915079122875,0.8371301135513769,0.7783790691555674,0.7102641856469756,0.6348826363677978,0.5550863014121753,0.4166666666666667,0.3953004568727652,0.3214768073130597,0.2549069741172668,0.1970220912192375,0.148424708226738,0.1089846679554736,8482445
Jakub Dobes,MTL,2025020110,0.8615955864864688,0.8070133851841138,0.7421666020261577,0.6687935595045444,0.5895468509620245,0.5076776064062295,0.4166666666666667,0.3495852677862447,0.2791811043907445,0.2172224519065481,0.1646435734111655,0.1215630762688639,0.087441676620059,8482487
