full_name,player_id,game_id,team_id,line,p_over,game_date
A. Kopitar,8471685,2025020738,26,0.5,0.3767073235728597,2026-01-14
J. Quick,8471734,2025020737,3,0.5,0.2755561657613077,2026-01-14
J. Reimer,8473503,2025020737,9,0.5,0.2225495038519471,2026-01-14
D. Perron,8474102,2025020737,9,0.5,0.7853857453996879,2026-01-14
E. Dadonov,8474149,2025020735,1,0.5,0.5894615864835219,2026-01-14
L. Eller,8474189,2025020737,9,0.5,0.3848603667249043,2026-01-14
J. Markstrom,8474593,2025020735,1,0.5,0.2345056691562928,2026-01-14
J. Allen,8474596,2025020735,1,0.5,0.2345056691562928,2026-01-14
B. McNabb,8475188,2025020738,54,0.5,0.467992420415823,2026-01-14
R. Smith,8475191,2025020738,54,0.5,0.4075843893826543,2026-01-14
B. Dumoulin,8475208,2025020738,26,0.5,0.4218132470091921,2026-01-14
N. Deslauriers,8475235,2025020736,4,0.5,0.461165938160153,2026-01-14
D. Kuemper,8475311,2025020738,26,0.5,0.2514989041013498,2026-01-14
N. Jensen,8475324,2025020737,9,0.5,0.3543690940972879,2026-01-14
B. Dillon,8475455,2025020735,1,0.5,0.3447930796664399,2026-01-14
P. Grubauer,8475831,2025020735,55,0.5,0.2393892928575474,2026-01-14
S. Carrick,8475842,2025020737,3,0.5,0.6127374609662617,2026-01-14
O. Palat,8476292,2025020735,1,0.5,0.557233660748937,2026-01-14
A. Forsberg,8476341,2025020738,26,0.5,0.2514989041013498,2026-01-14
N. Seeler,8476372,2025020736,4,0.5,0.6281726437309694,2026-01-14
N. Cousins,8476393,2025020737,9,0.5,0.5933070459074398,2026-01-14
B. Saad,8476438,2025020738,54,0.5,0.7406896629930007,2026-01-14
J. Edmundson,8476441,2025020738,26,0.5,0.6503554611001607,2026-01-14
W. Karlsson,8476448,2025020738,54,0.5,0.704469464811611,2026-01-14
A. Larsson,8476457,2025020735,55,0.5,0.5186298984833063,2026-01-14
J. Oleksiak,8476467,2025020735,55,0.5,0.5213708348822582,2026-01-14
J. Armia,8476469,2025020738,26,0.5,0.575180834134647,2026-01-14
S. Noesen,8476474,2025020735,1,0.5,0.6791035837299048,2026-01-14
L. Glendening,8476822,2025020735,1,0.5,0.589495783885265,2026-01-14
C. Ceci,8476879,2025020738,26,0.5,0.4046602211200943,2026-01-14
M. Murray,8476899,2025020735,55,0.5,0.2393892928575474,2026-01-14
C. Sissons,8476925,2025020738,54,0.5,0.6396936086132409,2026-01-14
C. Brown,8477015,2025020735,1,0.5,0.4710692558427508,2026-01-14
B. Hutton,8477018,2025020738,54,0.5,0.5438894762183686,2026-01-14
K. MacDermid,8477073,2025020737,9,0.5,0.2234448107156156,2026-01-14
C. Soucy,8477369,2025020737,3,0.5,0.5011653125037371,2026-01-14
J. Brodzinski,8477380,2025020737,3,0.5,0.8093673203127532,2026-01-14
Spencer Martin,8477484,2025020737,3,0.5,0.2755561657613077,2026-01-14
B. Pesce,8477488,2025020735,1,0.5,0.6299404210782428,2026-01-14
Rasmus Ristolainen,8477499,2025020736,4,0.5,0.5757904902819521,2026-01-14
C. Sheary,8477839,2025020737,3,0.5,0.6350070957989001,2026-01-14
G. Hathaway,8477903,2025020736,4,0.5,0.4849735319432089,2026-01-14
F. Gaudreau,8477919,2025020735,55,0.5,0.5131205995801268,2026-01-14
B. Montour,8477986,2025020735,55,0.5,0.4546851163760519,2026-01-14
J. Lammikko,8477996,2025020735,1,0.5,0.5321429188470335,2026-01-14
M. Amadio,8478020,2025020737,9,0.5,0.4425781578056223,2026-01-14
I. Shesterkin,8478048,2025020737,3,0.5,0.2755561657613077,2026-01-14
J. Siegenthaler,8478399,2025020735,1,0.5,0.3715168509467139,2026-01-14
J. Greenway,8478413,2025020736,7,0.5,0.6653357828885639,2026-01-14
K. Kolesar,8478434,2025020738,54,0.5,0.5601553651366005,2026-01-14
D. Vladar,8478435,2025020736,4,0.5,0.2280672067780639,2026-01-14
N. Juulsen,8478454,2025020736,4,0.5,0.4289263858416295,2026-01-14
J. Lauzon,8478468,2025020738,54,0.5,0.4205302187196458,2026-01-14
A. Hill,8478499,2025020738,54,0.5,0.2442938293102788,2026-01-14
W. Borgen,8478840,2025020737,3,0.5,0.5220652171131904,2026-01-14
C. White,8478841,2025020735,1,0.5,0.4891204316428438,2026-01-14
J. Daccord,8478916,2025020735,55,0.5,0.2393892928575474,2026-01-14
R. Abols,8479022,2025020736,4,0.5,0.613935975932215,2026-01-14
A. Lyon,8479312,2025020736,7,0.5,0.2556412665175431,2026-01-14
A. Fox,8479323,2025020737,3,0.5,0.5976552220908284,2026-01-14
R. Lindgren,8479324,2025020735,55,0.5,0.4338111626620711,2026-01-14
C. Grundstrom,8479336,2025020736,4,0.5,0.6901469198757679,2026-01-14
B. Howden,8479353,2025020738,54,0.5,0.4612748108980621,2026-01-14
B. Malenstyn,8479359,2025020736,7,0.5,0.3569531597739662,2026-01-14
J. Mahura,8479372,2025020735,55,0.5,0.3232240965206401,2026-01-14
T. Raddysh,8479390,2025020737,3,0.5,0.5682053371134964,2026-01-14
Carter Hart,8479394,2025020738,54,0.5,0.2442938293102788,2026-01-14
J. Moverare,8479421,2025020738,26,0.5,0.4818800443330471,2026-01-14
T. Moore,8479675,2025020738,26,0.5,0.7249329320559349,2026-01-14
Z. MacEwen,8479772,2025020735,1,0.5,0.6893336673379605,2026-01-14
J. Danforth,8479941,2025020736,7,0.5,0.4039363003696651,2026-01-14
C. Timmins,8479982,2025020736,7,0.5,0.619946911048219,2026-01-14
C. Fleury,8479985,2025020735,55,0.5,0.6273998138200485,2026-01-14
C. Glass,8479996,2025020735,1,0.5,0.5526370808607562,2026-01-14
M. Anderson,8479998,2025020738,26,0.5,0.4586711155987018,2026-01-14
U. Vaakanainen,8480001,2025020737,3,0.5,0.4041349387867628,2026-01-14
U. Luukkonen,8480045,2025020736,7,0.5,0.2556412665175431,2026-01-14
Johnathan Kovacevic,8480192,2025020735,1,0.5,0.3792097643195049,2026-01-14
J. Bryson,8480196,2025020736,7,0.5,0.4912850195401791,2026-01-14
Z. Whitecloud,8480727,2025020738,54,0.5,0.3536028217157862,2026-01-14
M. Samuelsson,8480807,2025020736,7,0.5,0.6022904515643105,2026-01-14
M. Kesselring,8480891,2025020736,7,0.5,0.4957501398271783,2026-01-14
P. Cotter,8481032,2025020735,1,0.5,0.3510099504957056,2026-01-14
A. Schmid,8481033,2025020738,54,0.5,0.2442938293102788,2026-01-14
S. Ersson,8481035,2025020736,4,0.5,0.2280672067780639,2026-01-14
C. Reinhardt,8481133,2025020738,54,0.5,0.5257240409907122,2026-01-14
P. Krebs,8481522,2025020736,7,0.5,0.6307806593668804,2026-01-14
M. Robertson,8481525,2025020737,3,0.5,0.404230650937645,2026-01-14
K. Korczak,8481527,2025020738,54,0.5,0.423571576551115,2026-01-14
A. Turcotte,8481532,2025020738,26,0.5,0.5400183496169532,2026-01-14
C. Ellis,8481551,2025020736,7,0.5,0.2556412665175431,2026-01-14
B. Brink,8481553,2025020736,4,0.5,0.606143600994885,2026-01-14
J. Spence,8481606,2025020737,9,0.5,0.51106559904954,2026-01-14
Zac Jones,8481708,2025020736,7,0.5,0.2556412665175431,2026-01-14
A. Edstrom,8481726,2025020737,3,0.5,0.670905168647923,2026-01-14
Andre Lee,8481732,2025020738,26,0.5,0.5207016415784547,2026-01-14
T. Kartye,8481789,2025020735,55,0.5,0.5276918655156451,2026-01-14
B. Schneider,8482073,2025020737,3,0.5,0.5591013003941974,2026-01-14
R. Greig,8482092,2025020737,9,0.5,0.7697069346087686,2026-01-14
T. Kleven,8482095,2025020737,9,0.5,0.4046167667578907,2026-01-14
A. Holtz,8482125,2025020738,54,0.5,0.5824156636512356,2026-01-14
E. Andrae,8482126,2025020736,4,0.5,0.3077742860920228,2026-01-14
J. Drysdale,8482142,2025020736,4,0.5,0.4323434018146328,2026-01-14
T. Foerster,8482159,2025020736,4,0.5,0.7455692894447654,2026-01-14
A. Zub,8482245,2025020737,9,0.5,0.4089529711342941,2026-01-14
J. Malott,8482408,2025020738,26,0.5,0.5838617939048292,2026-01-14
H. Shepard,8482411,2025020737,9,0.5,0.2225495038519471,2026-01-14
L. Meriläinen,8482447,2025020737,9,0.5,0.2225495038519471,2026-01-14
M. Rempe,8482460,2025020737,3,0.5,0.4657403951835775,2026-01-14
J. Dunne,8482623,2025020736,7,0.5,0.4318936422413733,2026-01-14
S. Morrow,8482666,2025020737,3,0.5,0.5032479613290854,2026-01-14
S. Helenius,8482726,2025020738,26,0.5,0.3928938556789813,2026-01-14
B. Othmann,8482747,2025020737,3,0.5,0.6045291350199784,2026-01-14
R. Winterton,8482751,2025020735,55,0.5,0.8120061000408815,2026-01-14
C. Lindbom,8482761,2025020738,54,0.5,0.2442938293102788,2026-01-14
R. Evans,8482858,2025020735,55,0.5,0.2836888444241897,2026-01-14
Jacob Melanson,8482874,2025020735,55,0.5,0.480164400756478,2026-01-14
T. Kozak,8482896,2025020736,7,0.5,0.3927256625806621,2026-01-14
Marc McLaughlin,8483397,2025020735,1,0.5,0.2345056691562928,2026-01-14
Taylor Ward,8483406,2025020738,26,0.5,0.3991808871903052,2026-01-14
J.Kulich,8483468,2025020736,7,0.5,0.7478812789241008,2026-01-14
S. Nemec,8483495,2025020735,1,0.5,0.584559943188825,2026-01-14
N. Ostlund,8483500,2025020736,7,0.5,0.6091382056313007,2026-01-14
S. Wright,8483524,2025020735,55,0.5,0.6244034663565131,2026-01-14
B. Meyers,8483570,2025020735,55,0.5,0.8844930708930916,2026-01-14
N. Laba,8483690,2025020737,3,0.5,0.4829228547543988,2026-01-14
N. Grebenkin,8483733,2025020736,4,0.5,0.5148642747937198,2026-01-14
Braeden Bowman,8483890,2025020738,54,0.5,0.5564249365179496,2026-01-14
Denver Barkey,8484142,2025020736,4,0.5,0.5105200536290688,2026-01-14
G. Perreault,8484210,2025020737,3,0.5,0.4775041036360956,2026-01-14
Z. Metsa,8484305,2025020736,7,0.5,0.3687781707712123,2026-01-14
N. Matinpalo,8484321,2025020737,9,0.5,0.3247521169276704,2026-01-14
