full_name,player_id,game_id,team_id,line,p_over,game_date
C. Talbot,8475660,2025020562,17,18.5,0.0007201274360684,2025-12-21
J. Gibson,8476434,2025020562,17,18.5,0.0004368126002571,2025-12-21
C. Lindgren,8479292,2025020562,15,18.5,0.0004650865490913,2025-12-21
L. Thompson,8480313,2025020562,15,18.5,0.0002369679105531,2025-12-21
S. Wedgewood,8475809,2025020563,21,18.5,0.0002439715820109,2025-12-21
M. Blackwood,8478406,2025020563,21,18.5,0.0003843774128979,2025-12-21
F. Gustavsson,8479406,2025020563,30,18.5,0.0004687002064496,2025-12-21
J. Wallstedt,8482661,2025020563,30,18.5,1e-06,2025-12-21
J. Korpisalo,8476914,2025020564,6,18.5,0.0005340484224869,2025-12-21
L. Ullmark,8476999,2025020564,9,18.5,0.0009675167943472,2025-12-21
J. Swayman,8480280,2025020564,6,18.5,0.000663112150296,2025-12-21
L. Meriläinen,8482447,2025020564,9,18.5,1.4409121311453887e-05,2025-12-21
J. Markstrom,8474593,2025020565,1,18.5,0.0003453467568087,2025-12-21
J. Allen,8474596,2025020565,1,18.5,0.0004863709289166,2025-12-21
A. Lyon,8479312,2025020565,7,18.5,0.0006676262309947,2025-12-21
U. Luukkonen,8480045,2025020565,7,18.5,0.0005382366515868,2025-12-21
S. Montembeault,8478470,2025020566,8,18.5,0.0008813387232461,2025-12-21
S. Skinner,8479973,2025020566,5,18.5,0.0002964641912226,2025-12-21
A. Silovs,8481668,2025020566,5,18.5,7.485601903545192e-05,2025-12-21
J. Dobes,8482487,2025020566,8,18.5,0.0009639852999525,2025-12-21
J. Quick,8471734,2025020567,3,18.5,0.000651459040575,2025-12-21
J. Saros,8477424,2025020567,18,18.5,0.0004274213145517,2025-12-21
I. Shesterkin,8478048,2025020567,3,18.5,0.0007796123873706,2025-12-21
J. Annunen,8481020,2025020567,18,18.5,0.0003265537933309,2025-12-21
A. Stolarz,8476932,2025020568,10,18.5,0.000651691979562,2025-12-21
C. DeSmith,8479193,2025020568,25,18.5,0.0015063423639724,2025-12-21
Joseph Woll,8479361,2025020568,10,18.5,0.0011390457322004,2025-12-21
J. Oettinger,8479979,2025020568,25,18.5,0.001427879924494,2025-12-21
D. Hildeby,8483710,2025020568,10,18.5,5.298908236639477e-06,2025-12-21
C. Hellebuyck,8476945,2025020569,52,18.5,0.0002392612095104,2025-12-21
E. Comrie,8477480,2025020569,52,18.5,0.0001970218459271,2025-12-21
V. Vanecek,8477970,2025020569,68,18.5,0.0003189122299563,2025-12-21
K. Vejmelka,8478872,2025020569,68,18.5,1e-06,2025-12-21
C. Pickard,8475717,2025020570,22,18.5,0.0002768648209021,2025-12-21
T. Jarry,8477465,2025020570,22,18.5,0.0002204521893618,2025-12-21
A. Hill,8478499,2025020570,54,18.5,0.0003625507925514,2025-12-21
Carter Hart,8479394,2025020570,54,18.5,1e-06,2025-12-21
A. Schmid,8481033,2025020570,54,18.5,0.0005596084785411,2025-12-21
C. Talbot,8475660,2025020562,17,19.5,0.0002824434283874,2025-12-21
J. Gibson,8476434,2025020562,17,19.5,0.0001644355801065,2025-12-21
C. Lindgren,8479292,2025020562,15,19.5,0.0001759740646705,2025-12-21
L. Thompson,8480313,2025020562,15,19.5,8.493758954708497e-05,2025-12-21
S. Wedgewood,8475809,2025020563,21,19.5,8.764996274379655e-05,2025-12-21
M. Blackwood,8478406,2025020563,21,19.5,0.0001432063241798,2025-12-21
F. Gustavsson,8479406,2025020563,30,19.5,0.0001774531429356,2025-12-21
J. Wallstedt,8482661,2025020563,30,19.5,1e-06,2025-12-21
J. Korpisalo,8476914,2025020564,6,19.5,0.0002043610859006,2025-12-21
L. Ullmark,8476999,2025020564,9,19.5,0.0003889579176111,2025-12-21
J. Swayman,8480280,2025020564,6,19.5,0.0002583098005026,2025-12-21
L. Meriläinen,8482447,2025020564,9,19.5,4.180661890784698e-06,2025-12-21
J. Markstrom,8474593,2025020565,1,19.5,0.0001275596925931,2025-12-21
J. Allen,8474596,2025020565,1,19.5,0.0001846996061929,2025-12-21
A. Lyon,8479312,2025020565,7,19.5,0.000260214204662,2025-12-21
U. Luukkonen,8480045,2025020565,7,19.5,0.0002060956027221,2025-12-21
S. Montembeault,8478470,2025020566,8,19.5,0.0003515469131221,2025-12-21
S. Skinner,8479973,2025020566,5,19.5,0.0001081730471488,2025-12-21
A. Silovs,8481668,2025020566,5,19.5,2.453824741155408e-05,2025-12-21
J. Dobes,8482487,2025020566,8,19.5,0.0003874189045783,2025-12-21
J. Quick,8471734,2025020567,3,19.5,0.0002533987584051,2025-12-21
J. Saros,8477424,2025020567,18,19.5,0.0001606167759974,2025-12-21
I. Shesterkin,8478048,2025020567,3,19.5,0.0003077993960904,2025-12-21
J. Annunen,8481020,2025020567,18,19.5,0.0001200775324142,2025-12-21
A. Stolarz,8476932,2025020568,10,19.5,0.000253496853648,2025-12-21
C. DeSmith,8479193,2025020568,25,19.5,0.0006288378886049,2025-12-21
Joseph Woll,8479361,2025020568,10,19.5,0.0004642777024206,2025-12-21
J. Oettinger,8479979,2025020568,25,19.5,0.0005933468106495,2025-12-21
D. Hildeby,8483710,2025020568,10,19.5,1.431403561791278e-06,2025-12-21
C. Hellebuyck,8476945,2025020569,52,19.5,8.58250203893407e-05,2025-12-21
E. Comrie,8477480,2025020569,52,19.5,6.959844884379951e-05,2025-12-21
